epsiode,reward
109,-122.15806725394798
110,-232.47488059393552
111,-232.47488059393552
112,-124.26560776109106
113,-124.26560776109106
114,-119.37630175769326
115,-119.37630175769326
116,-123.96625551950406
117,-123.96625551950406
118,-120.66369256585378
119,-120.66369256585378
120,-125.89943668346518
121,-125.89943668346518
122,-121.60959247971493
123,-121.60959247971493
124,-121.68927521153869
125,-121.68927521153869
126,-224.48752582434383
127,-224.48752582434383
128,-308.98036803513594
129,-308.98036803513594
130,-236.55102191501885
131,-236.55102191501885
132,-121.6247614582432
133,-121.6247614582432
134,-123.21224342861287
135,-123.21224342861287
136,-349.4869992011526
137,-349.4869992011526
138,-120.94648854035256
139,-120.94648854035256
140,-123.38622536434391
141,-123.38622536434391
142,-0.8296838177157948
143,-0.8296838177157948
144,-123.91589235665765
145,-123.91589235665765
146,-121.15421267491446
147,-121.15421267491446
148,-119.89481750546997
149,-119.89481750546997
150,-119.70407620482702
151,-119.70407620482702
152,-233.45957341593964
153,-233.45957341593964
154,-261.3759573834001
155,-261.3759573834001
156,-126.73845125092573
157,-126.73845125092573
158,-231.26249825813673
159,-231.26249825813673
160,-117.2936812517398
161,-117.2936812517398
162,-349.35856220811223
163,-349.35856220811223
164,-115.69113004980474
165,-115.69113004980474
166,-238.49986889333852
167,-238.49986889333852
168,-119.21054092886736
169,-119.21054092886736
170,-125.8461373782928
171,-125.8461373782928
172,-236.31498970533346
173,-236.31498970533346
174,-124.44570364005841
175,-124.44570364005841
176,-121.17552439686031
177,-121.17552439686031
178,-129.75431591462402
179,-129.75431591462402
180,-119.282462958265
181,-119.282462958265
182,-122.32894259142515
183,-122.32894259142515
184,-118.67160000605001
185,-118.67160000605001
186,-113.97924051119996
187,-113.97924051119996
188,-1.1798252617966933
189,-1.1798252617966933
190,-240.686092305304
191,-240.686092305304
192,-253.99352987695028
193,-253.99352987695028
194,-246.32770221673567
195,-246.32770221673567
196,-119.00662913952358
197,-119.00662913952358
198,-123.6682053851864
199,-123.6682053851864
200,-239.25968190870722
201,-239.25968190870722
202,-114.79260617446067
203,-114.79260617446067
204,-235.1041103365784
205,-235.1041103365784
206,-117.26362086688295
207,-117.26362086688295
208,-124.98637508423565
209,-124.98637508423565
210,-121.96850803041217
211,-121.96850803041217
212,-118.81994858309439
213,-118.81994858309439
214,-117.04721561682372
215,-117.04721561682372
216,-125.75977569354173
217,-125.75977569354173
218,-114.49137527511988
219,-114.49137527511988
220,-235.29094091297443
221,-235.29094091297443
222,-119.02584932820179
223,-119.02584932820179
224,-121.14792485456374
225,-121.14792485456374
226,-121.30919139071204
227,-121.30919139071204
228,-0.6892461974257574
229,-0.6892461974257574
230,-128.09342742527312
231,-128.09342742527312
232,-121.79182257004669
233,-121.79182257004669
234,-230.53800979368657
235,-230.53800979368657
236,-226.43474979536595
237,-226.43474979536595
238,-121.83823009785218
239,-121.83823009785218
240,-1.3377848233362513
241,-1.3377848233362513
242,-122.5042924352795
243,-122.5042924352795
244,-114.05287633692078
245,-114.05287633692078
246,-1.6167023271897674
247,-1.6167023271897674
248,-122.66942809261671
249,-122.66942809261671
250,-0.9021205136142395
251,-0.9021205136142395
252,-116.70549504307418
253,-116.70549504307418
254,-229.165443063809
255,-229.165443063809
256,-119.52985940190324
257,-119.52985940190324
258,-129.06616793286696
259,-129.06616793286696
260,-118.4164241614122
261,-118.4164241614122
262,-225.36580097589933
263,-225.36580097589933
264,-252.7361340816603
265,-252.7361340816603
266,-116.44375207474614
267,-116.44375207474614
268,-227.74781246502604
269,-227.74781246502604
270,-121.68420923113511
271,-121.68420923113511
272,-125.04483862778915
273,-125.04483862778915
274,-123.72554717381531
275,-123.72554717381531
276,-123.03602019318805
277,-123.03602019318805
278,-1.0869243673401416
279,-1.0869243673401416
280,-119.19684640513358
281,-119.19684640513358
